y_type,window,feature,corr,abs_corr
ret_pct,p0_p1,sur_surprise_ebit_pct,-0.038,0.038
ret_pct,p0_p1,sur_surprise_netIncome,0.013,0.013
ret_pct,p0_p1,sur_surprise_netIncome_pct,-0.039,0.039
ret_pct,p0_p1,sur_surprise_eps,-0.066,0.066
ret_pct,p0_p1,sur_surprise_eps_pct,-0.072,0.072
ret_pct,p0_p1,gro_fiscalYear,-0.014,0.014
ret_pct,p0_p1,gro_growthRevenue,-0.02,0.02
ret_pct,p0_p1,gro_growthCostOfRevenue,-0.028,0.028
ret_pct,p0_p1,gro_growthGrossProfit,-0.005,0.005
ret_pct,p0_p1,gro_growthGrossProfitRatio,-0.003,0.003
ret_pct,p0_p1,gro_growthResearchAndDevelopmentExpenses,-0.024,0.024
ret_pct,p0_p1,gro_growthGeneralAndAdministrativeExpenses,0.035,0.035
ret_pct,p0_p1,gro_growthSellingAndMarketingExpenses,0.011,0.011
ret_pct,p0_p1,gro_growthOtherExpenses,-0.01,0.01
ret_pct,p0_p1,gro_growthOperatingExpenses,-0.015,0.015
ret_pct,p0_p1,gro_growthCostAndExpenses,-0.014,0.014
ret_pct,p0_p1,gro_growthInterestIncome,0.036,0.036
ret_pct,p0_p1,gro_growthInterestExpense,0.019,0.019
ret_pct,p0_p1,gro_growthDepreciationAndAmortization,-0.034,0.034
ret_pct,p0_p1,gro_growthEBITDA,-0.018,0.018
ret_pct,p0_p1,gro_growthOperatingIncome,-0.118,0.118
ret_pct,p0_p1,gro_growthIncomeBeforeTax,-0.09,0.09
ret_pct,p0_p1,gro_growthIncomeTaxExpense,0.028,0.028
ret_pct,p0_p1,gro_growthNetIncome,0.056,0.056
ret_pct,p0_p1,gro_growthEPS,0.054,0.054
ret_pct,p0_p1,gro_growthEPSDiluted,0.054,0.054
ret_pct,p0_p1,gro_growthWeightedAverageShsOut,0.022,0.022
ret_pct,p0_p1,gro_growthWeightedAverageShsOutDil,0.05,0.05
ret_pct,p0_p1,gro_growthEBIT,-0.094,0.094
ret_pct,p0_p1,gro_growthNonOperatingIncomeExcludingInterest,-0.057,0.057
ret_pct,p0_p1,gro_growthNetInterestIncome,-0.0,0.0
ret_pct,p0_p1,gro_growthTotalOtherIncomeExpensesNet,0.035,0.035
ret_pct,p0_p1,gro_growthNetIncomeFromContinuingOperations,0.058,0.058
ret_pct,p0_p1,gro_growthOtherAdjustmentsToNetIncome,-0.042,0.042
ret_pct,p0_p1,gro_growthNetIncomeDeductions,-0.04,0.04
ret_pct,p0_p1,est_revenueLow,-0.113,0.113
ret_pct,p0_p1,est_revenueHigh,-0.111,0.111
ret_pct,p0_p1,est_revenueAvg,-0.112,0.112
ret_pct,p0_p1,est_ebitdaLow,-0.098,0.098
ret_pct,p0_p1,est_ebitdaHigh,-0.081,0.081
ret_pct,p0_p1,est_ebitdaAvg,-0.089,0.089
ret_pct,p0_p1,est_ebitLow,-0.123,0.123
ret_pct,p0_p1,est_ebitHigh,-0.111,0.111
ret_pct,p0_p1,est_ebitAvg,-0.117,0.117
ret_pct,p0_p1,est_netIncomeLow,-0.115,0.115
ret_pct,p0_p1,est_netIncomeHigh,-0.1,0.1
ret_pct,p0_p1,est_netIncomeAvg,-0.107,0.107
ret_pct,p0_p1,est_sgaExpenseLow,-0.068,0.068
ret_pct,p0_p1,est_sgaExpenseHigh,-0.064,0.064
ret_pct,p0_p1,est_sgaExpenseAvg,-0.066,0.066
ret_pct,p0_p1,est_epsAvg,0.009,0.009
ret_pct,p0_p1,est_epsHigh,0.013,0.013
ret_pct,p0_p1,est_epsLow,0.01,0.01
ret_pct,p0_p1,est_numAnalystsRevenue,-0.068,0.068
ret_pct,p0_p1,est_numAnalystsEps,-0.052,0.052
ret_pct,p0_p10,px_-5,-0.014,0.014
ret_pct,p0_p10,px_-1,-0.017,0.017
ret_pct,p0_p10,px_+0,-0.009,0.009
ret_pct,p0_p10,px_+1,0.002,0.002
ret_pct,p0_p10,px_+5,0.034,0.034
ret_pct,p0_p10,px_+10,0.068,0.068
ret_pct,p0_p10,logpct_m5_p5,0.429,0.429
ret_pct,p0_p10,logpct_m1_p1,0.186,0.186
ret_pct,p0_p10,logpct_p0_p1,0.414,0.414
ret_pct,p0_p10,logpct_p0_p5,0.718,0.718
ret_pct,p0_p10,logpct_p0_p10,0.996,0.996
ret_pct,p0_p10,sur_quarter_rank,0.091,0.091
ret_pct,p0_p10,sur_actual_revenue,-0.073,0.073
ret_pct,p0_p10,sur_actual_ebitda,-0.053,0.053
ret_pct,p0_p10,sur_actual_ebit,-0.067,0.067
ret_pct,p0_p10,sur_actual_netIncome,-0.066,0.066
ret_pct,p0_p10,sur_actual_eps,-0.011,0.011
ret_pct,p0_p10,sur_est_revenue,-0.072,0.072
ret_pct,p0_p10,sur_est_ebitda,-0.059,0.059
ret_pct,p0_p10,sur_est_ebit,-0.074,0.074
ret_pct,p0_p10,sur_est_netIncome,-0.085,0.085
ret_pct,p0_p10,sur_est_eps,-0.006,0.006
ret_pct,p0_p10,sur_surprise_revenue,-0.026,0.026
ret_pct,p0_p10,sur_surprise_revenue_pct,-0.021,0.021
ret_pct,p0_p10,sur_surprise_ebitda,0.014,0.014
ret_pct,p0_p10,sur_surprise_ebitda_pct,0.009,0.009
ret_pct,p0_p10,sur_surprise_ebit,-0.004,0.004
ret_pct,p0_p10,sur_surprise_ebit_pct,-0.021,0.021
ret_pct,p0_p10,sur_surprise_netIncome,0.047,0.047
ret_pct,p0_p10,sur_surprise_netIncome_pct,-0.057,0.057
ret_pct,p0_p10,sur_surprise_eps,-0.014,0.014
ret_pct,p0_p10,sur_surprise_eps_pct,-0.116,0.116
ret_pct,p0_p10,gro_fiscalYear,0.07,0.07
ret_pct,p0_p10,gro_growthRevenue,0.028,0.028
ret_pct,p0_p10,gro_growthCostOfRevenue,-0.043,0.043
ret_pct,p0_p10,gro_growthGrossProfit,0.073,0.073
ret_pct,p0_p10,gro_growthGrossProfitRatio,0.07,0.07
ret_pct,p0_p10,gro_growthResearchAndDevelopmentExpenses,-0.008,0.008
ret_pct,p0_p10,gro_growthGeneralAndAdministrativeExpenses,0.045,0.045
ret_pct,p0_p10,gro_growthSellingAndMarketingExpenses,-0.048,0.048
ret_pct,p0_p10,gro_growthOtherExpenses,-0.044,0.044
ret_pct,p0_p10,gro_growthOperatingExpenses,-0.049,0.049
ret_pct,p0_p10,gro_growthCostAndExpenses,-0.027,0.027
ret_pct,p0_p10,gro_growthInterestIncome,0.033,0.033
ret_pct,p0_p10,gro_growthInterestExpense,0.075,0.075
ret_pct,p0_p10,gro_growthDepreciationAndAmortization,0.011,0.011
