ticker,event_date,phase,publisher,n_units
AAPL,2022-10-27,pre,proactiveinvestors.co.uk,2
AAPL,2022-10-27,pre,reuters.com,10
AAPL,2022-10-27,pre,seekingalpha.com,7
AAPL,2022-10-27,pre,techcrunch.com,4
AAPL,2022-10-27,pre,techxplore.com,5
AAPL,2022-10-27,pre,wsj.com,4
AAPL,2022-10-27,pre,zacks.com,15
AAPL,2023-02-02,post,247wallst.com,2
AAPL,2023-02-02,post,barrons.com,2
AAPL,2023-02-02,post,benzinga.com,7
AAPL,2023-02-02,post,businessinsider.com,5
AAPL,2023-02-02,post,businesswire.com,5
AAPL,2023-02-02,post,cnbc.com,10
AAPL,2023-02-02,post,cnet.com,3
AAPL,2023-02-02,post,deadline.com,1
AAPL,2023-02-02,post,fool.com,33
AAPL,2023-02-02,post,forbes.com,6
AAPL,2023-02-02,post,foxbusiness.com,5
AAPL,2023-02-02,post,gurufocus.com,2
AAPL,2023-02-02,post,investopedia.com,2
AAPL,2023-02-02,post,investorplace.com,7
AAPL,2023-02-02,post,investors.com,6
AAPL,2023-02-02,post,invezz.com,2
AAPL,2023-02-02,post,marketbeat.com,2
AAPL,2023-02-02,post,markets.businessinsider.com,4
AAPL,2023-02-02,post,marketwatch.com,12
AAPL,2023-02-02,post,news.sky.com,1
AAPL,2023-02-02,post,nypost.com,3
AAPL,2023-02-02,post,nytimes.com,1
AAPL,2023-02-02,post,prnewswire.com,1
AAPL,2023-02-02,post,proactiveinvestors.co.uk,2
AAPL,2023-02-02,post,proactiveinvestors.com,2
AAPL,2023-02-02,post,pymnts.com,4
AAPL,2023-02-02,post,reuters.com,7
AAPL,2023-02-02,post,schaeffersresearch.com,1
AAPL,2023-02-02,post,seekingalpha.com,19
AAPL,2023-02-02,post,techcrunch.com,2
AAPL,2023-02-02,post,techxplore.com,3
AAPL,2023-02-02,post,thedogofwallstreet.com,1
AAPL,2023-02-02,post,theguardian.com,1
AAPL,2023-02-02,post,wsj.com,2
AAPL,2023-02-02,post,zacks.com,20
AAPL,2023-02-02,pre,247wallst.com,4
AAPL,2023-02-02,pre,barrons.com,3
AAPL,2023-02-02,pre,businessinsider.com,3
AAPL,2023-02-02,pre,businesswire.com,6
