ticker,earnings_date,date,offset,ret,ret_pct
NVDA,2024-11-20,2024-11-22,1,-0.032181290733826806,-3.2181290733826806
NVDA,2024-11-20,2024-11-25,2,-0.04177512506117165,-4.177512506117164
NVDA,2024-11-20,2024-11-26,3,0.006616762922426966,0.6616762922426966
NVDA,2024-11-20,2024-11-27,4,-0.011539759008744377,-1.1539759008744377
NVDA,2024-11-20,2024-11-29,5,0.021501578112479436,2.1501578112479436
NVDA,2024-11-20,2024-12-02,6,0.00274851607844373,0.274851607844373
NVDA,2024-11-20,2024-12-03,7,0.011758015314664139,1.1758015314664139
NVDA,2024-11-20,2024-12-04,8,0.034792614115262355,3.4792614115262355
NVDA,2024-11-20,2024-12-05,9,-0.0004824033720910448,-0.04824033720910448
NVDA,2024-11-20,2024-12-06,10,-0.018061557527088712,-1.8061557527088712
NVDA,2025-02-26,2025-02-12,-10,,
NVDA,2025-02-26,2025-02-13,-9,0.031645565937127085,3.1645565937127085
NVDA,2025-02-26,2025-02-14,-8,0.02631391612376488,2.631391612376488
NVDA,2025-02-26,2025-02-18,-7,0.003961115008531246,0.39611150085312463
NVDA,2025-02-26,2025-02-19,-6,-0.0012196135405022623,-0.12196135405022623
NVDA,2025-02-26,2025-02-20,-5,0.00632048692392817,0.632048692392817
NVDA,2025-02-26,2025-02-21,-4,-0.04053961017188068,-4.053961017188068
NVDA,2025-02-26,2025-02-24,-3,-0.030870969884514432,-3.087096988451443
NVDA,2025-02-26,2025-02-25,-2,-0.028016637424763013,-2.8016637424763013
NVDA,2025-02-26,2025-02-26,-1,0.036721207580809656,3.6721207580809656
NVDA,2025-02-26,2025-02-27,0,-0.08478064840614363,-8.478064840614364
NVDA,2025-02-26,2025-02-28,1,0.03970034289263946,3.970034289263946
NVDA,2025-02-26,2025-03-03,2,-0.08693565785207769,-8.693565785207769
NVDA,2025-02-26,2025-03-04,3,0.016920933409269034,1.6920933409269034
NVDA,2025-02-26,2025-03-05,4,0.011294118699767708,1.1294118699767708
NVDA,2025-02-26,2025-03-06,5,-0.057374294283181415,-5.7374294283181415
NVDA,2025-02-26,2025-03-07,6,0.019173398134321173,1.9173398134321173
NVDA,2025-02-26,2025-03-10,7,-0.05067001479365574,-5.067001479365574
NVDA,2025-02-26,2025-03-11,8,0.016638669825216557,1.6638669825216557
NVDA,2025-02-26,2025-03-12,9,0.06427593235319251,6.427593235319251
NVDA,2025-02-26,2025-03-13,10,-0.0013824276228131538,-0.13824276228131538
NVDA,2025-05-28,2025-05-14,-10,,
NVDA,2025-05-28,2025-05-15,-9,-0.0037682543319644823,-0.37682543319644823
NVDA,2025-05-28,2025-05-16,-8,0.004227575282001572,0.4227575282001572
